controller,scenario_id,n_steps,sim_time_s,wall_time_mean_ms,wall_time_std_ms,wall_time_max_ms,wall_time_p95_ms,wall_time_total_ms,cpu_time_mean_ms,cpu_time_std_ms,cpu_time_max_ms,cpu_time_p95_ms,cpu_time_total_ms,cpu_to_wall_ratio,freq_mean_hz,freq_std_hz,freq_min_hz,eq_rate_mean_hz,eq_rate_min_hz,eq_rate_p05_hz,wall_util_mean_pct,wall_util_max_pct,cpu_util_mean_pct,cpu_util_max_pct,wall_deadline_miss_count,cpu_deadline_miss_count,wall_deadline_miss_rate_pct,cpu_deadline_miss_rate_pct
PID,1,800,79.9,0.041985283692155546,0.01145474432700077,0.20196400146229998,0.04647214864235137,33.58822695372444,0.04135191874999593,0.011230770575170223,0.195508,0.045866050000042936,33.08153499999674,0.9849145965809454,24472.90186561535,2557.095476634333,4951.377437362383,24472.90186561541,4951.377437363099,21518.33370788827,0.041985283692155546,0.20196400146230004,0.041351918749995914,0.19550800000000004,0,0,0.0,0.0
PID,2,800,79.9,0.041716698733580415,0.0015987815301681918,0.06123599814600311,0.04358404748927569,33.37335898686433,0.041106625000007495,0.0015914395957286303,0.06053399999972342,0.04297460000004527,32.885300000006,0.9853757907002878,24000.68057711322,777.8938849468763,16330.263738262756,24000.68057711322,16330.263738262756,22944.174706837126,0.041716698733580415,0.061235998146002245,0.041106625000007495,0.06053399999972256,0,0,0.0,0.0
PID,3,800,79.9,0.04248999879564508,0.0032130478665908847,0.1142869987234,0.043827699846588075,33.99199903651606,0.04187405750000535,0.003201911226781377,0.11356100000000001,0.043158999999914904,33.49924600000428,0.9855038523629503,23602.752311985772,959.8418028713055,8749.90166134484,23602.752311985772,8749.901661344898,22816.620729469854,0.04248999879564508,0.11428699872340244,0.041874057500005335,0.11356100000000242,0,0,0.0,0.0
PID,4,800,79.9,0.04358706503808207,0.0025848401024408576,0.06584400034626015,0.045351398875936866,34.86965203046566,0.042944531250009854,0.0025706649595048235,0.06523099999977688,0.0446176499999451,34.35562500000788,0.9852586131341755,23004.0171969115,1045.2138229383572,15187.412592509634,23004.0171969115,15187.412592509634,22050.038839706176,0.04358706503808207,0.06584400034626389,0.04294453125000985,0.06523099999978059,0,0,0.0,0.0
PID,5,800,79.9,0.043472646134432545,0.0038934853919127717,0.113013000373,0.04548889883153606,34.778116907546035,0.04283041874999494,0.0038790607801178255,0.1122429999997,0.04479850000014274,34.26433499999595,0.9852268623710733,23103.539484537254,1196.8120566290438,8848.539519340506,23103.539484537258,8848.539519342861,21983.386250566276,0.043472646134432545,0.1130130003729984,0.04283041874999492,0.11224299999969842,0,0,0.0,0.0
PID,6,800,79.9,0.06784479003272263,0.013981090443879905,0.1067829980456,0.08064415014814585,54.27583202617811,0.06701753000000134,0.013875493923521784,0.105757,0.0796802500001581,53.614024000001066,0.9878065798077892,15610.646543124742,4264.942782648983,9364.786701083973,15610.646543124756,9364.786701090427,12400.155475984298,0.06784479003272263,0.10678299804559849,0.06701753000000132,0.1057569999999985,0,0,0.0,0.0
MPC,1,800,79.9,38.493527014961685,8.743983012937573,108.132918998308,45.79280995094438,30794.821611969346,38.47966928124985,8.737821903193108,108.12886399999749,45.73025344999945,30783.73542499988,0.9996399983377349,27.784911701795522,12.638275055116953,9.247877605298411,27.784911701795565,9.247877605298415,21.839985573453035,38.49352701496167,108.13291899830647,38.47966928124984,108.12886399999596,1,1,0.125,0.125
MPC,2,800,79.9,38.656078501226105,10.145126874445955,110.9473840006103,53.56133379937074,30924.86280098088,38.64467266124999,10.141648147013344,110.933052,53.52931184999953,30915.738128999994,0.9997049405832579,27.625064929731888,11.615048315815741,9.013281466776167,27.625064929731934,9.013281466776172,18.671289040493242,38.656078501226105,110.94738400060872,38.64467266125,110.93305199999843,7,6,0.8750000000000001,0.75
MPC,3,800,79.9,37.18591266377639,5.516784045836421,78.684518000955,41.55695075132824,29748.73013102111,37.17702370374991,5.514044766256579,78.6462909999983,41.542383599995915,29741.618962999928,0.9997609589387559,27.918473474504143,9.956390377623737,12.708980437395104,27.91847347450419,12.708980437395105,24.063376331458368,37.18591266377638,78.68451800094829,37.1770237037499,78.64629099999159,0,0,0.0,0.0
MPC,4,800,79.9,37.41056479999311,9.747844355134477,111.5288949986279,39.778688198930375,29928.451839994486,37.39090919000009,9.728869569023267,111.2666329999996,39.75968445000501,29912.727352000067,0.9994745973470834,28.41054787271176,11.848022427273307,8.966286270587565,28.410547872711803,8.966286270587569,25.13909157699895,37.41056479999311,111.52889499863426,37.390909190000094,111.26663300000592,10,10,1.25,1.25
MPC,5,800,79.9,35.97665995750499,6.14246434434166,92.8083350008819,38.43700394809272,28781.32796600399,35.96131281624942,6.138792552929938,92.7556899999899,38.39150534999188,28769.050252999536,0.9995734139502195,29.38256033937978,13.140775968145636,10.77489430222509,29.382560339379832,10.774894302225093,26.016595920725877,35.97665995750498,92.80833500088717,35.96131281624942,92.75568999999517,0,0,0.0,0.0
MPC,6,800,79.9,37.774984973698295,9.897573771428407,111.8351539989817,43.5761751485188,30219.987978958634,37.755618260000176,9.880471668554213,111.8138269999917,43.31734584999501,30204.49460800014,0.9994873137947876,28.332327954411884,12.43866497175143,8.941732221418548,28.33232795441193,8.941732221418548,22.948329315758606,37.77498497369828,111.83515399897216,37.75561826000016,111.81382699998217,7,7,0.8750000000000001,0.8750000000000001
PPO,1,800,79.9,0.29241722379078605,0.07296998252702054,1.4744210020580002,0.30826300117038996,233.93377903262882,0.28950708874994036,0.07220489943631914,1.4599610000001,0.305211299999985,231.60567099995228,0.9900480040022274,3498.7319130801015,345.8602007848448,678.2323356789844,3498.7319130807095,678.2323356790209,3243.9834689463146,0.292417223790786,1.474421002058,0.2895070887499404,1.4599610000001,0,0,0.0,0.0
PPO,2,800,79.9,0.3174180700215806,0.11699360437829372,1.0040179986389999,0.6831590495493349,253.9344560172645,0.31428309874995963,0.11594219848683744,0.9968740000001,0.6762321499997949,251.4264789999677,0.9901235261388621,3363.5743240613756,588.2275770745551,995.9980810658026,3363.5743240619636,995.998081065831,1463.788172955372,0.3174180700215805,1.0040179986389144,0.3142830987499595,0.996874000000015,0,0,0.0,0.0
PPO,3,800,79.9,0.7078733887191859,0.05585259740263076,0.9665030011092001,0.8059313511694051,566.2987109753487,0.7015402312499758,0.05401490885837845,0.9603799999995,0.799285950000645,561.2321849999806,0.9910532623910764,1421.1066342571085,107.26347841660602,1034.657935725316,1421.1066342572105,1034.6579357253495,1240.8004747324433,0.7078733887191859,0.9665030011091863,0.7015402312499757,0.9603799999995204,0,0,0.0,0.0
PPO,4,800,79.9,0.3127030899440299,0.12133930095902201,0.8774509988143,0.6817499510361349,250.1624719552239,0.30976020124995385,0.12065963421228469,0.8720410000000001,0.6769795000001049,247.8081609999631,0.9905888723561933,3448.8364186498598,650.0302879113723,1139.66478054192,3448.8364186504764,1139.6647805419339,1466.8144316981563,0.3127030899440299,0.8774509988142953,0.30976020124995385,0.8720409999999954,0,0,0.0,0.0
PPO,5,800,79.9,0.265978181287161,0.009781681985425611,0.3598580005927,0.282655099908865,212.7825450297288,0.26336811999995385,0.009602208626036866,0.35696999999940004,0.27977459999983495,210.6944959999631,0.9901869346027703,3764.4347114036314,129.13022909855698,2778.8738845675225,3764.4347114043217,2778.8738845682506,3537.8806233146815,0.265978181287161,0.3598580005926693,0.26336811999995385,0.35696999999936957,0,0,0.0,0.0
PPO,6,800,79.9,0.2702144399290259,0.046343993809059625,1.5444429991475,0.284495149571725,216.1715519432207,0.26749123499994615,0.045990754101250184,1.5340369999998,0.28178619999940996,213.9929879999569,0.9899220599395243,3724.076446937298,170.92969334158482,647.4826203051384,3724.076446938012,647.4826203051708,3514.9984156519804,0.270214439929026,1.5444429991475879,0.26749123499994615,1.5340369999998873,0,0,0.0,0.0
